__pk_Block_ID,Name,_fk_Group_ID,_fk_ScreenLabel_ID,_fk_Resource_ID
"2060002","Identification","","2090094","2050001"
"2060003","Location","","2090027","2050001"
"2060005","Contacts","","2090095","2050001"
"2060006","Latest Readings","","2090103","2050001"
"2060007","Data Information","","2090104","2050001"
"2060008","Data","","2090097","2050001"
"2060009","Platform","","2090112","2050001"
"2060010","Documentation","","2090120","2050001"
"2060011","Management","","2090110","2050001"
"2060022","Data Interface Instrument","","2090111","2050001"
"2060023","Command","","2090140","2050001"
"2060024","Policies","","2090098","2050001"
"2060025","Specifications Instrument","","2090145","2050001"
"2060026","Power Instrument","","2090146","2050001"
"2060027","Recent Events","","2090105","2050001"
"2060028","Planned Events","","2090100","2050001"
"2060029","Science Sensors","","2090107","2050001"
"2060030","Engineering Sensors","","2090108",""
"2060031","Identification Platform","","2090094","2050002"
"2060032","Data Interface Platform","","2090111","2050002"
"2060033","Location Platform","","2090027","2050002"
"2060034","Specifications Platform","","2090145","2050002"
"2060035","Power Platform","","2090146","2050002"
"2060036","Management Platform","","2090110","2050002"
"2060037","Controller","","2090268",""
"2060038","GPS Systems","","activation_mode",""
"2060039","Communications Systems","","2090276",""
"2060040","Instruments","","2090264","2050001"
"2060041","Frames of Reference","","2090101",""
"2060042","Vocabulary","","2090102",""
"2060046","Description","","2090005","2050001"
"2060047","Power Status Overview","","2090146",""
"2060048","Communications Status Overview","","2090386",""
"2060049","Data Status Overview","","2090097",""
"2060050","Location Overview","","2090027",""
"2060051","Messages","","2090387",""
"2060053","Status Bar Instrument","","2090389","2050001"
"2060054","Status Bar Platform","","2090389","2050002"
"2060055","Description","","2090005","2050002"
"2060056","Data Product","","2090438","2050004"
"2060057","Data Process","","2090439","2050005"
