__pk_jt_Block_Representation,_fk_Block_ID,_fk_Representation_ID
"2000006","2060003","2100004"
"2000007","2060003","2100007"
"2000009","2060006","2100004"
"2000015","2060025","2100004"
"2000017","2060029","2100005"
"2000018","2060030","2100005"
"2000021","2060005","2100004"
"2000022","2060007","2100004"
"2000025","2060022","2100004"
"2000026","2060031","2100004"
"2000027","2060032","2100004"
"2000028","2060033","2100004"
"2000029","2060033","2100007"
"2000030","2060034","2100004"
"2000031","2060011","2100004"
"2000032","2060010","2100004"
"2000034","2060023","2100004"
"2000036","2060035","2100004"
"2000037","2060036","2100004"
"2000038","2060037","2100004"
"2000039","2060038","2100004"
"2000040","2060039","2100004"
"2000042","2060041","2100005"
"2000043","2060042","2100005"
"2000046","2060046","2100009"
"2000047","2060047","2100008"
"2000048","2060048","2100006"
"2000049","2060048","2100005"
"2000050","2060048","2100009"
"2000051","2060049","2100006"
"2000052","2060049","2100005"
"2000053","2060049","2100009"
"2000054","2060050","2100006"
"2000055","2060050","2100005"
"2000056","2060050","2100007"
"2000057","2060050","2100009"
"2000058","2060051","2100009"
"2000060","2060008","2100008"
"2000061","2060053","2100010"
"2000062","2060054","2100010"
"2000063","2060053","2100004"
"2000064","2060054","2100004"
"2000066","2060055","2100009"
